"","x","y","t0med","t1med","t3med","t5med","t0ci1","t1ci1","t3ci1","t5ci1","t0ci2","t1ci2","t3ci2","t5ci2"
"1","Psoriasis","Depression",1.24881740349689,1.23802492540941,1.16251714324442,1.18222775974362,1.19677341364751,1.20804664821896,1.12249736874914,1.11991391505056,1.29951179820494,1.27246215201454,1.19827218825287,1.24993925765547
"2","Psoriasis","Anxiety",1.21807782740231,1.19036895846679,1.12856394085355,1.07020182668451,1.16579500352711,1.15403674881189,1.08223307653937,0.994879695439685,1.26455541194221,1.22005957625751,1.1698639146149,1.14447808682245
"3","Eczema","Depression",1.08959313607561,1.13643297050365,1.09351912152535,1.06820911142643,1.06460770814138,1.12315511515184,1.07104813182471,1.02211323871083,1.11307562103181,1.15504500172458,1.12031386806995,1.11695297934258
"4","Eczema","Anxiety",1.12664446219386,1.17134243567267,1.11934434849214,1.10046877689083,1.10083624495189,1.15545862299746,1.09424712311897,1.04789016784699,1.15776982766031,1.19118483102888,1.14421354273921,1.14879649587198
